date,value
01/01/2013,27511
01/04/2013,38193
01/07/2013,24256
01/10/2013,30549
01/01/2014,29277
01/04/2014,18788
01/07/2014,23271
01/10/2014,46052
01/01/2015,26568
01/04/2015,31188
01/07/2015,15813
01/10/2015,24464
01/01/2016,27275
01/04/2016,27402
01/07/2016,17401
01/10/2016,26156
01/01/2017,26408
01/04/2017,23646
01/07/2017,26554
01/10/2017,23306
01/01/2018,38325
01/04/2018,19483
01/07/2018,38939
01/10/2018,33338
01/01/2019,28095
01/04/2019,40883
01/07/2019,27596
01/10/2019,33943
01/01/2020,21938
01/04/2020,9996
01/07/2020,13607
01/10/2020,14119
01/01/2021,26768
01/04/2021,23684
01/07/2021,19504
01/10/2021,42569
01/01/2022,58017
01/04/2022,61640
01/07/2022,60279
01/10/2022,84960
01/01/2023,41592
01/04/2023,32937
01/07/2023,61971
